historical_job_hash,historical_verb,historical_raw_score,current_opportunity_id,current_canonical_id,current_version_id,current_document_id,match_method,confidence,disposition
"indeed:b5a48765c8964d07","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:b5f2b9fbba237e7e","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:b65f5dcad1e606c4","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:b7498a87b0a0c194","SPARSE_SPEC","0","","715541a886799af37496e381955ab010aef0204e6ed845606f8173a52c83846c","982a1481f9a6ca0c085622942a7b60ed7998e274020fccbdf274af6c5607f50d","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:b8e50a37b1246404","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:b90979295423f243","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:b984a05a9e37c782","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:ba3a457d38879c30","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:ba95335f325252bc","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:bc8a655949442631","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:bcfa3dcb703255e2","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:bd3732f7acf006bd","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:bd6bd64130d9b32b","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:bdb6d86f0578089f","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:c328bf93caacac58","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:c407f5824aaeac09","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:c594f300c94cd32f","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:c612408d8c921a4e","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:c665e572bcbce186","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:c70fe4f121292b6b","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:c74fb989d025659a","SPARSE_SPEC","0","","ea5c2c1eafc9d1eaacd8b04b9654944e99b860a721ab755ce3ae194b28bd49ac","a5fe6cbe373330cd88c60a82fe6832eb73b05fb4db2c511be416ec97a868ff2d","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:cba6aba8d3d59031","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:cd8892092d5511ff","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:cf36ea08ed6c64b2","SPARSE_SPEC","0","","0ccd93b68b793ee551f446294bd2b5e81c867d666c93a581ca9e227daf962a1f","48cd17ef71e3cd94393d86feddccbf8cda149bbc9088baccdc617b524bce011a","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:cf658dcd36b04d23","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
