jobHash,stored_verdict,adapter_verdict,serving_verdict,corruption_status
2bd81afeb410774b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2d8207325ce64fd9,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2e6a3ea9ae592122,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2e7e2261005df1e7,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2f11eaf76b604a3c,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2f2cd25e95a1c368,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2f909100603abcd3,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3010c69863a26d88,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
306f1bf7bc1f8803,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
311da39701c8e457,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
313ea61883e420e7,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3152ef6da0acc38c,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3158d7b961feab06,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
317b26261f01586e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
319696732ede660e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
31a17d699444142a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
31bda937ca67f9ff,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3265500d45d11197,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3309422382ee9af6,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
33a2a43077ef7d11,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3438dce5e287d585,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
364b8466e0c91b3b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
377e2800a85b400b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
399508089542ad3e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
39c05318f049a84d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
39c9fc84108adc77,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
39fd8768623fa1d6,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3a15bcdcd24ba4c4,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3a4ce131cb3021a1,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3a71253eea7eb193,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3c80d93d0e1a172f,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3d42251b8f48cf52,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3d500659a0044823,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3e972f3841bb600a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3ed60752d0ab231a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3f3c0d79ddd485a0,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
3fc245635128b939,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
402ea76a2e83eee5,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
40a860f1a54e8b40,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
418bccbd8b681380,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
41b68e64246085c2,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
42cd4aa44902f23a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
42d97b34051e9ef4,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
42e4700ed8b222fd,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4414d813ba48be65,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
